rank,ticker,name,category,expiry,strike,dte,strike_zone,bid,ask,mid,spread_pct,iv,open_interest,volume,delta,delta_estimated,moneyness,final_score,confidence,confidence_label,thesis,thirteen_f,market,options,catalyst,risk_penalty,is_event_trade,reasons_against,data_flags,paper_recommendation
24,AVGO,Broadcom Inc,semiconductors,2026-11-06,238.8,135,longer_dated_otm,13.05,14.03,13.54,0.0724,0.5353,6554,247,0.3627,True,1.1998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
25,AVGO,Broadcom Inc,semiconductors,2026-12-21,199.0,180,near_the_money,31.28,31.95,31.615,0.0212,0.5395,7821,579,0.5956,True,0.9998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
26,AVGO,Broadcom Inc,semiconductors,2026-12-21,209.0,180,slightly_otm,25.77,27.86,26.815,0.0779,0.5272,3287,2030,0.5424,True,1.05,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
27,AVGO,Broadcom Inc,semiconductors,2026-12-21,218.9,180,slightly_otm,22.79,24.66,23.725,0.0788,0.5366,5880,917,0.4954,True,1.0998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
28,AVGO,Broadcom Inc,semiconductors,2026-12-21,238.8,180,longer_dated_otm,18.52,20.03,19.275,0.0783,0.5649,7765,262,0.4164,True,1.1998,7.43,1.0,high,8.07,3.08,9.0,10.0,6.0,0.0,True,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
29,AVGO,Broadcom Inc,semiconductors,2026-08-08,209.0,45,slightly_otm,10.78,11.57,11.175,0.0707,0.535,4739,2124,0.4444,True,1.05,7.34,1.0,high,8.07,3.08,9.0,9.5,6.0,0.0,True,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
30,AVGO,Broadcom Inc,semiconductors,2026-08-08,218.9,45,slightly_otm,7.4,7.55,7.475,0.0201,0.5161,3985,644,0.342,True,1.0998,7.34,1.0,high,8.07,3.08,9.0,9.5,6.0,0.0,True,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
31,ASML,ASML Holding,semiconductor_equipment,2026-09-22,287.0,90,near_the_money,49.2,52.84,51.02,0.0713,0.8836,5969,1746,0.5956,False,1.0,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
32,ASML,ASML Holding,semiconductor_equipment,2026-09-22,301.4,90,slightly_otm,43.15,44.96,44.055,0.0411,0.8613,3849,45,0.5488,True,1.0501,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
33,ASML,ASML Holding,semiconductor_equipment,2026-09-22,315.7,90,slightly_otm,37.97,39.73,38.85,0.0453,0.8593,7910,2198,0.5053,True,1.1,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
34,ASML,ASML Holding,semiconductor_equipment,2026-09-22,344.4,90,longer_dated_otm,29.69,30.69,30.19,0.0331,0.8584,4741,1285,0.4241,True,1.2,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
35,ASML,ASML Holding,semiconductor_equipment,2026-11-06,287.0,135,near_the_money,58.63,61.51,60.07,0.0479,0.8474,4234,439,0.6127,True,1.0,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
36,ASML,ASML Holding,semiconductor_equipment,2026-11-06,315.7,135,slightly_otm,47.55,48.91,48.23,0.0282,0.829,548,1491,0.5368,True,1.1,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
37,ASML,ASML Holding,semiconductor_equipment,2026-11-06,344.4,135,longer_dated_otm,37.72,38.97,38.345,0.0326,0.8125,692,818,0.4634,True,1.2,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
38,ASML,ASML Holding,semiconductor_equipment,2026-12-21,287.0,180,near_the_money,70.44,71.95,71.195,0.0212,0.8719,2767,234,0.6325,True,1.0,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
39,ASML,ASML Holding,semiconductor_equipment,2026-12-21,344.4,180,longer_dated_otm,43.56,44.78,44.17,0.0276,0.7704,448,345,0.488,True,1.2,7.32,0.8,high,8.39,0.0,9.0,10.0,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
40,ASML,ASML Holding,semiconductor_equipment,2026-08-08,301.4,45,slightly_otm,25.55,26.49,26.02,0.0361,0.7825,1039,708,0.4909,True,1.0501,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
41,ASML,ASML Holding,semiconductor_equipment,2026-08-08,315.7,45,slightly_otm,20.95,21.67,21.31,0.0338,0.7897,5119,345,0.4258,True,1.1,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
42,ASML,ASML Holding,semiconductor_equipment,2026-08-08,344.4,45,longer_dated_otm,15.48,16.19,15.835,0.0448,0.8498,6050,162,0.3281,True,1.2,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180 | aggressive OTM strike on short tenor,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
43,ASML,ASML Holding,semiconductor_equipment,2026-11-06,301.4,135,slightly_otm,47.39,49.51,48.45,0.0438,0.7589,6094,95,0.5623,True,1.0501,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
44,ASML,ASML Holding,semiconductor_equipment,2026-12-21,301.4,180,slightly_otm,60.38,64.06,62.22,0.0591,0.825,9599,860,0.5946,True,1.0501,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
45,ASML,ASML Holding,semiconductor_equipment,2026-12-21,315.7,180,slightly_otm,58.04,62.68,60.36,0.0769,0.8638,6113,1745,0.5709,True,1.1,7.21,0.8,high,8.39,0.0,9.0,9.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
46,MU,Micron Technology,memory,2026-08-08,72.3,45,near_the_money,3.94,4.27,4.105,0.0804,0.3872,5516,2226,0.5427,True,0.9996,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2) | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
47,MU,Micron Technology,memory,2026-09-22,72.3,90,near_the_money,5.17,5.58,5.375,0.0763,0.3512,6588,696,0.5581,False,0.9996,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
48,MU,Micron Technology,memory,2026-09-22,75.9,90,slightly_otm,4.24,4.41,4.325,0.0393,0.3856,5085,1039,0.4584,True,1.0494,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
49,MU,Micron Technology,memory,2026-09-22,79.6,90,slightly_otm,2.56,2.69,2.625,0.0495,0.3507,8390,890,0.3423,True,1.1005,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
50,MU,Micron Technology,memory,2026-11-06,72.3,135,near_the_money,6.92,7.47,7.195,0.0764,0.3818,2153,1299,0.5721,True,0.9996,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
51,MU,Micron Technology,memory,2026-11-06,75.9,135,slightly_otm,5.03,5.44,5.235,0.0783,0.3589,6374,299,0.4825,True,1.0494,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
52,MU,Micron Technology,memory,2026-11-06,79.6,135,slightly_otm,4.04,4.26,4.15,0.053,0.371,2286,366,0.4028,True,1.1005,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
53,MU,Micron Technology,memory,2026-12-21,72.3,180,near_the_money,8.03,8.61,8.32,0.0697,0.3787,4916,662,0.5827,True,0.9996,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
54,MU,Micron Technology,memory,2026-12-21,75.9,180,slightly_otm,6.99,7.3,7.145,0.0434,0.3975,2420,1253,0.515,True,1.0494,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
55,MU,Micron Technology,memory,2026-12-21,79.6,180,slightly_otm,5.5,5.91,5.705,0.0719,0.3933,4532,1902,0.4454,True,1.1005,7.17,0.8,high,7.55,0.0,9.0,10.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
56,AVGO,Broadcom Inc,semiconductors,2026-08-08,199.0,45,near_the_money,15.93,16.89,16.41,0.0585,0.5725,7088,522,0.5502,True,0.9998,7.16,1.0,high,8.07,3.08,9.0,8.5,6.0,0.0,True,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
57,AVGO,Broadcom Inc,semiconductors,2026-08-08,238.8,45,longer_dated_otm,4.75,5.07,4.91,0.0652,0.5908,5355,560,0.2265,True,1.1998,7.07,1.0,high,8.07,3.08,9.0,8.0,6.0,0.0,True,RSI 88 overbought | 45 DTE outside preferred 60-180 | aggressive OTM strike on short tenor,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
58,MU,Micron Technology,memory,2026-08-08,75.9,45,slightly_otm,2.41,2.58,2.495,0.0681,0.3756,2644,119,0.3967,True,1.0494,7.06,0.8,high,7.55,0.0,9.0,9.5,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2) | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
59,MU,Micron Technology,memory,2026-09-22,86.8,90,longer_dated_otm,1.6,1.68,1.64,0.0488,0.398,5299,1086,0.2195,True,1.2001,7.06,0.8,high,7.55,0.0,9.0,9.5,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
60,MU,Micron Technology,memory,2026-11-06,86.8,135,longer_dated_otm,2.21,2.38,2.295,0.0741,0.367,977,1964,0.2613,True,1.2001,7.06,0.8,high,7.55,0.0,9.0,9.5,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
61,MU,Micron Technology,memory,2026-12-21,86.8,180,longer_dated_otm,2.77,2.99,2.88,0.0764,0.3473,6312,837,0.2929,True,1.2001,7.06,0.8,high,7.55,0.0,9.0,9.5,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2),source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
62,MRVL,Marvell Technology,semiconductors,2026-09-22,86.4,90,near_the_money,11.77,12.68,12.225,0.0744,0.6949,8232,1488,0.5801,False,0.9997,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
63,MRVL,Marvell Technology,semiconductors,2026-09-22,90.8,90,slightly_otm,10.77,10.99,10.88,0.0202,0.7219,2723,1163,0.5276,True,1.0506,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
64,MRVL,Marvell Technology,semiconductors,2026-09-22,95.1,90,slightly_otm,8.31,8.82,8.565,0.0595,0.6765,3619,1180,0.4652,True,1.1003,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
65,MRVL,Marvell Technology,semiconductors,2026-09-22,103.7,90,longer_dated_otm,6.33,6.65,6.49,0.0493,0.7011,3405,414,0.3742,True,1.1998,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
66,MRVL,Marvell Technology,semiconductors,2026-11-06,86.4,135,near_the_money,14.75,15.81,15.28,0.0694,0.7081,5636,751,0.5989,True,0.9997,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
67,MRVL,Marvell Technology,semiconductors,2026-11-06,95.1,135,slightly_otm,10.18,10.93,10.555,0.0711,0.6401,2177,971,0.4948,True,1.1003,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
68,MRVL,Marvell Technology,semiconductors,2026-11-06,103.7,135,longer_dated_otm,7.99,8.25,8.12,0.032,0.6468,3207,1172,0.4095,True,1.1998,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
69,MRVL,Marvell Technology,semiconductors,2026-12-21,86.4,180,near_the_money,15.82,16.24,16.03,0.0262,0.6375,6632,1688,0.6059,True,0.9997,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
70,MRVL,Marvell Technology,semiconductors,2026-12-21,95.1,180,slightly_otm,12.57,13.18,12.875,0.0474,0.6437,2211,1714,0.5232,True,1.1003,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
71,MRVL,Marvell Technology,semiconductors,2026-12-21,103.7,180,longer_dated_otm,12.4,13.11,12.755,0.0557,0.7477,5016,1825,0.4813,True,1.1998,7.05,0.8,high,7.62,0.0,9.0,10.0,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
72,VRT,Vertiv Holdings,data_centers,2026-09-22,76.3,90,near_the_money,11.81,12.52,12.165,0.0584,0.787,4536,1600,0.5878,False,0.9995,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
73,VRT,Vertiv Holdings,data_centers,2026-09-22,80.2,90,slightly_otm,9.87,10.22,10.045,0.0348,0.7508,497,1821,0.5321,True,1.0506,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
74,VRT,Vertiv Holdings,data_centers,2026-09-22,84.0,90,slightly_otm,7.4,7.91,7.655,0.0666,0.6827,5128,179,0.4667,True,1.1003,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
75,VRT,Vertiv Holdings,data_centers,2026-09-22,91.6,90,longer_dated_otm,5.52,5.75,5.635,0.0408,0.6945,1965,1768,0.3717,True,1.1999,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
